video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
SsWHMAhshPQ,Ovi x Natanael Cano x Aleman x Big Soto - Vengo De Nada [Official Video],2020-08-11T23:00:10Z,UC648rgJOboZlgcDbW00vTSA,Rancho Humilde,10,2020-08-12T00:00:00Z,Vengo De Nada|Aleman|Ovi|Big Soto|Trap|Ovi Natanel Cano Big Soto Aleman|Nata Aleman|Ovi Vengo De Nada|Natanael Cano Vengo De Nada|Aleman Vengo De Nada|Big Soto Vengo De Nada|Natanael Cano|Nata|Legado 7|Herencia de Patrones|El De La Guitarra|Grupo Codiciado|Alta Consigna|Junior H|Cosas de la Clica|Pacas Verdes|El Drip|Corridos Tumbados|Jimmy Humilde|Rancho Humilde|Rancho|Corridos|Corridos Verdes|Regional urbano|Clika|SMO|Regional Mexicano|Banda,741028,113999,4380,5620,https://i.ytimg.com/vi/SsWHMAhshPQ/default.jpg,False,False,"Vengo De Nada - Ovi x Natanael Cano x Aleman x Big SotoDirected by Lalo The GiantExecutive Producer Jimmy Humildehttp://Instagram.com/Ovi_Oficialhttp://Instagram.com/Natanael_Canohttp://Instagram.com/mxalemanmxhttp://Instagram.com/BigSotoriusSuscríbete: http://Rancho.lnk.to/RHYoutubeEscucha Vengo De Nada aquí:http://Rancho.lnk.to/VengoDeNada 🎶Paginas Oficiales De Rancho HumildeSpotify: http://Rancho.lnk.to/RHSpotifyInstagram: http://Rancho.lnk.to/InstagramFacebook: http://Rancho.lnk.to/RHFacebook🎧Spotify Playlists:➤ 💪Entre Acordeones: http://Rancho.lnk.to/SpotifyPlaylist1➤ 🚬 420 Smoke Me Out: http://Rancho.lnk.to/SpotifySMOYouTube Playlists 📢📢  | Corridos 2020Natanael Cano: http://Rancho.lnk.to/NCPlaylistLegado 7: http://Rancho.lnk.to/L7PlaylistFuerza Regida: http://Rancho.lnk.to/FRPlaylistEl De La Guitarra: http://Rancho.lnk.to/EdlgPlaylistGrupo Codiciado: http://Rancho.lnk.to/GCPlaylistLos Hijos De Garcia: http://Rancho.lnk.to/HdgPlaylistHerencia De Patrones: http://Rancho.lnk.to/HDPPlaylistJunior H: http://Rancho.lnk.to/JrHPlaylistArsenal Efectivo: http://Rancho.lnk.to/AEPlaylist🎥Corridos | En Vivo: http://Rancho.lnk.to/CorridosEnVivo🎥Corridos | Videos Musicales: http://Rancho.lnk.to/Corridos2020#VengoDeNada #Ovi #NatanaelCano #Aleman #BigSoto"
JOaeND0xUNk,Belinda y Christian Nodal cantan De los besos que te di. ¡Revive el momento! | La Voz Mexico,2020-08-11T18:03:06Z,UCNVrBkfp4_TG9x4h5kvLeAQ,TV Azteca,24,2020-08-12T00:00:00Z,tv azteca|videos de tv azteca|azteca uno|en sus batallas|desde casa|azteca videos|azteca digital|entretenimiento tv azteca|entretenimiento|belinda y nodal|nodal|christian nodal|belinda|belinda novios|belinda y nodal cantando|de los besos que te di|la voz mexico|belinda y christian en la voz|christian nodal ex|belinda y christian nodal,402507,8102,831,803,https://i.ytimg.com/vi/JOaeND0xUNk/default.jpg,False,False,"Encendieron el escenario de La Voz. TV AztecaTe llevamos lo mejor de la televisión por internet, entreteniendo e informando a los mexicanos.Bienvenido a https://www.tvazteca.com/"
SV91jnGs--s,¿QUIÉN HACE LOS MEJORES NUGGETS? | EL GUZII,2020-08-11T19:57:02Z,UCuGn3ioftOo6jvHE1YK4Bfw,El Guzii,26,2020-08-12T00:00:00Z,El Guzii|Guzzi|Guzy|Guzii Style|Recetas Divertidas|Jairo Macizo|Cocina Lab|Sabores del Alma|Cocina|Miskiri Miskiri|calificando nuggets|calificando comida rápida|chicken nuggets|nuggets de pollo|mc Donald's|chick-fil-a|burger king|carl's jr|nuggets|kfc|chicken,735044,62188,1053,4100,https://i.ytimg.com/vi/SV91jnGs--s/default.jpg,False,False,"Si tienes 10 kg de sobre peso tal vez te haz preguntado quién hace los mejores Nuggets de Pollo. Pues en éste video El Guzii te dice cuáles son. ¿Qué otras cosas podemos calificar? Suscríbete para ver videos cada martes: http://bit.ly/13C629GMi canal personal (Guzii World): http://youtube.com/GuziiWorldVIDEO MÁS VISTO: Haz tu máquina de Ice Cream Rolls.https://bit.ly/2MvE7Gp***************************************************FACEBOOK - http://www.facebook.com/ElGuziiOfficialTWITTER - http://www.twitter.com/elguzii INSTAGRAM - http://www.instagram.com/elguzii WEBSITE - http://www.elguzii.com ***************************************************¿GUSTAS ENVIARME ALGO? El Guzii591 Telegraph Canyon Rd. #562Chula Vista, CA 91910***************************************************"
QgX0zn5nMyk,"Martha Figueroa se disculpa públicamente con Nicolás, hijo de Erika Buenfil | Hoy",2020-08-11T15:57:47Z,UCJPd6seu4JK4PZjVVTWb0QA,Hoy,24,2020-08-12T00:00:00Z,Televisa|Televisa espectaculos|programa hoy televisa|Programa Hoy|elenco programa hoy|videos programa hoy|programa hoy 2020|Andrea Legarreta|Galilea Montijo|Raúl Araiza|Andrea Escalona|#ConLasEstrellas|Paul Stanley|Elenco programa hoy 2020|Lambda García|Marisol González|#TelevisaTeAcompaña|Magda Rodríguez|con permiso|unicable|pepillo origel|martha figueroa|erika buenfil|hijo de erika buenfil,521751,4680,3129,2285,https://i.ytimg.com/vi/QgX0zn5nMyk/default.jpg,False,False,"Mira aquí el contenido exclusivo que tenemos para ti: https://bit.ly/ProgramaHoyMartha Figueroa se disculpa con Nicolás, el hijo de Erika Buenfil, por la polémica que desató el fin de semana durante el programa de Unicable: Con Permiso.Amanece junto a Galilea Montijo, Andrea Legarreta y Raúl Araiza en el mejor programa matutino: Hoy. Aquí encontrarás lo mejor de los espectáculos, horóscopos, cocina, ejercicios, humor, cápsulas y reportajes ¡Así que no te lo pierdas y acompáñanos todas las mañanas en punto de las 9 de la mañana! #HoyLoHacesTú #TelevisaTeAcompañaSitio Oficial: https://bit.ly/ProgramaHoyFacebook: http://on.fb.me/1j0HjIJTwitter: http://bit.ly/1fXEHbBInstagram: https://bit.ly/2Vv2b2ATik Tok: @programa_hoy"
cKaM19oAwBM,MAQUILLAJE PARA KIMBERLY LOAIZA✨ RESISTENTE AL AGUA 💧 Victor Guadarrama,2020-08-11T21:55:08Z,UCs5w0QCxsEWz83vuQyOCnuA,Victor Guadarrama,26,2020-08-12T00:00:00Z,MAQUILLAJE|CELEBS|ARTE|MAKEUP|PESTAÑAS|KIMBERLYLOAIZA|XIMENANAVARRETE|MANELYK|MARISOLGONZALES|BELINDA|ACAPULCOSHORE|NINELCONDE|TUTORIAL|OJOS|LABIOS|BEAUTYVLOG|COSMETICOS|NOVIAS|MAQUILLAJENOCHE|CEJAS|SKINCARE,168118,24551,537,782,https://i.ytimg.com/vi/cKaM19oAwBM/default.jpg,False,False,No olvides suscribirte y activar la campanita de notificaciones para que no te pierdas las próximas sorpresas. Compartenos tu  look con este maquillaje en nuestras redes. Comenta que más te gustaría ver en mi canal.💙Link de mis productos: 👇https://universo.victorguadarrama.com.mxMis redes sociales: 👇https://www.instagram.com/vicoguadarr...https://www.instagram.com/studiovicto...
zU5lgsAKIIA,NOVIO VS. NOVIA - MaiLu,2020-08-11T20:18:23Z,UCj4HkE5zO2aSU_LUv4fHB8A,MaiLu,22,2020-08-12T00:00:00Z,lulu99|novio de lulu99|lulu y su novio|maicol y luisa|tag del novio|novio|lulu 99|99|lulu99 y su novio canal|mailu|mai lu|pareja|novios|YOLO aventuras|sandra cires|24 horas|esposados|con mi novio|maicol|maiking|¡NUEVO CANAL JUNTOS! Lulu Y Maicol ❤️ NUESTRO PRIMER VIDEO!!|novio vs novia|MaiLu|reto|quien conoce mejor al otro|challenge|skabeche|123 spanish,989033,157522,2060,18314,https://i.ytimg.com/vi/zU5lgsAKIIA/default.jpg,False,False,"Hola MaiLutubers, bienvenidos al nuestro canal! En donde compartiremos todas nuestras aventuras juntos como pareja. En el video de hoy les traemos un NOVIO VS. NOVIA!! El reto de quien conoce mejor al otro!❤️ No olviden seguirnos en nuestras redes:✨Instagram: https://www.instagram.com/luisalulu99/https://www.instagram.com/themaiking_/✨Youtube:https://www.youtube.com/channel/UCCyCcRlr_NRDP-JFAhBxq1ghttps://www.youtube.com/channel/UC1tx1X2co30JZVYUNr35BEA✨TikTok:https://www.tiktok.com/@_lulu99?lang=enhttps://www.tiktok.com/@themaiking?lang=enSobre nosotros: Hola! Somos MaiLu ! Y nuestro contenido se enfoca principalmente en bromas, retos, videos divertidos, videos de risa, comedia, entretenimiento, videojuegos, y videos en parejas como tags y mucho más! MaiLu salió de la idea de juntar nuestros 2 nombres, (Maicol y Luisa) ya que ustedes nos pedían tanto hacer videos juntos, esperamos que disfruten al máximo nuestro contenido. No olviden suscribirse y activar la campanita para que no se lo pierdan! Nos encanta ver videos de Musas, Los Polinesios, Katie Angel,  Los Polinesios, EnchufeTV, Ami Rodriguez, Kimberly Loaiza, Juan De Dios Pantoja, Yolo Aventuras, Luisito Comunica, Sandra Cires, Katie Angel, AuronPlay... también de casi todos los youtubers colombianos, youtubers mexicanos y youtubers españoles. La mayoria de sus videos me gustan mucho, más que todo sus videos de entretenimieno o videos graciosos, y videos de parejas."
p7WtYeowOEY,LA VENGANZA ES DULCE 😳 //CEVICHURRO VS TRIKI TRIKI 🤡// LA GUERR@ CONTINÚA 😂// parte 8,2020-08-12T01:00:04Z,UCUhXAsbSWi7s34-imeLyatg,SOY TRIKI TRIKI,22,2020-08-12T00:00:00Z,Triki triki|Payaso triki trki|Soy triki triki,64858,6327,110,437,https://i.ytimg.com/vi/p7WtYeowOEY/default.jpg,False,False,el video anterior este en el canal de los cevichurros https://youtu.be/oTnUAsi8xio MI INSTAGRAM... https://www.instagram.com/payasotrikitriki/ MI PAGINA .... https://www.facebook.com/Triki-Triki-oficial-504960070243236
M9Pmf9AB4Mo,Apex Legends | Stories from the Outlands – “The Endorsement”,2020-08-11T17:00:10Z,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends,20,2020-08-12T00:00:00Z,Apex Legends|Apex Legends characters|new Apex Legend|Apex Legends Rampart|Apex Legends Season 6|Apex Legends Boosted|Battle Pass|Season 6 Battle Pass|Apex Legends new season|Apex Legends game|Respawn Apex Legends|Battle Royale game|Battle Royale|Battle Royale shooter|Apex Games|squad play|multiplayer shooter|Apex Legends PS4|Apex Legends Xbox|Apex Legends PC|Apex Legends Origin|Respawn Entertainment|Electronic Arts|Titanfall 2|fun battle royale,2381688,146744,2794,16557,https://i.ytimg.com/vi/M9Pmf9AB4Mo/default.jpg,False,False,"While running her own modding shop, Ramya Parekh (aka Rampart) built her rep in underground gauntlet circuits. But success has a way of making enemies. Good thing she knows how to use all those fancy weapons she’s upgraded…  Apex Legends™ is a free-to-play battle royale game where legendary characters battle for glory, fame, and fortune on the fringes of the Frontier. Play for free now on Xbox One, PS4, and Origin for PC. Learn more about Apex Legends Season 6 – Boosted: http://x.ea.com/64060 Check out our YouTube channel: http://x.ea.com/56710.Follow us on Twitter: https://twitter.com/playapex.Follow us on Instagram: https://www.instagram.com/playapex/.#MeetRampart #ApexSeason6 #ApexSeasonSix #ApexLegends"
8PaPyFpt3FE,¡Erika Buenfil enfrenta a Pepillo Origel y pide respeto para su hijo! | Hoy,2020-08-10T17:13:40Z,UCJPd6seu4JK4PZjVVTWb0QA,Hoy,24,2020-08-12T00:00:00Z,Televisa|Televisa espectaculos|programa hoy televisa|Programa Hoy|elenco programa hoy|videos programa hoy|programa hoy 2020|Andrea Legarreta|Galilea Montijo|Raúl Araiza|#ConLasEstrellas|Paul Stanley|Elenco programa hoy 2020|Marisol González|#TelevisaTeAcompaña|Magda Rodríguez|¡Erika Buenfil enfrenta a Pepillo Origel y pide respeto para su hijo!|Erika Buenfil|Pepillo Origel|pepillo origel habla de erika buenfil|martha figueroa habla del hijo de erika buenfil,1176350,15569,2431,3937,https://i.ytimg.com/vi/8PaPyFpt3FE/default.jpg,False,False,"Mira aquí el contenido exclusivo que tenemos para ti: https://bit.ly/ProgramaHoyErika Buenfil enfrenta la polémica acerca de las declaraciones que hicieron Pepillo Origel y Martha Figueroa, por lo que pide que con su hijo no se metan. Amanece junto a Galilea Montijo, Andrea Legarreta y Raúl Araiza en el mejor programa matutino: Hoy. Aquí encontrarás lo mejor de los espectáculos, horóscopos, cocina, ejercicios, humor, cápsulas y reportajes ¡Así que no te lo pierdas y acompáñanos todas las mañanas en punto de las 9 de la mañana! #HoyLoHacesTú #TelevisaTeAcompañaSitio Oficial: https://bit.ly/ProgramaHoyFacebook: http://on.fb.me/1j0HjIJTwitter: http://bit.ly/1fXEHbBInstagram: https://bit.ly/2Vv2b2ATik Tok: @programa_hoy"
jbGRowa5tIk,ITZY “Not Shy” M/V TEASER,2020-08-11T15:00:13Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,2020-08-12T00:00:00Z,JYP Entertainment|JYP|ITZY|있지|ITZY Video|ITZY Yeji|ITZY Lia|ITZY Ryujin|ITZY Chaeryeong|ITZY Yuna|있지 예지|있지 리아|있지 류진|있지 채령|있지 유나|예지|리아|류진|채령|유나|Yeji|Lia|Ryujin|Chaeryeong|Yuna|ITZY BEHIND|ITZY VIDEOS|ITZY DEBUT|있지 데뷔|not shy|ITZY not shy|ITZY TEASER|있지 티저|not shy 티저|있지 뮤비 티저|not shy 뮤비 티저|ITZY MV TEASER|ITZY MV|M/V|TEASER|있지 컴백|ITZY COMEBACK|not shy MV|낫샤이 뮤비|낫샤이|not shy opening trailer|opening trailer,6000070,714314,15176,31050,https://i.ytimg.com/vi/jbGRowa5tIk/default.jpg,False,False,ITZY Not Shy M/V[ITZY Official] https://www.youtube.com/c/ITZYhttps://www.instagram.com/itzy.all.in.us/http://www.twitter.com/ITZYOfficialhttp://www.facebook.com/OfficialITZYhttp://ITZY.jype.comhttp://fans.jype.com/ITZY#ITZY #NotShy #ITZY_NotShyCopyrights 2020 ⓒ JYP Entertainment. All Rights Reserved
